id,url_id,user_id,created_at,type,is_mention
1242270811681144832,None,None,2020-03-24T02:03:36.000Z,None,None
1242270800872382465,33596639,90286882,2020-03-24T02:03:33.000Z,retweet,False
1242270917859803136,None,None,2020-03-24T02:04:01.000Z,None,None
1242270793121308673,33596639,25073877,2020-03-24T02:03:32.000Z,reply,False
1242271088576466946,33596639,1068274305023336448,2020-03-24T02:04:42.000Z,retweet,False
1242271157333696512,33596639,1195141109028212737,2020-03-24T02:04:58.000Z,retweet,False
1242271286723784705,None,None,2020-03-24T02:05:29.000Z,None,None
1242271286178414593,33596639,845528015882797057,2020-03-24T02:05:29.000Z,retweet,False
1242271284144160770,33596639,773913050302783488,2020-03-24T02:05:29.000Z,retweet,False
1242271279857553409,33596639,206414832,2020-03-24T02:05:28.000Z,retweet,False
1242271271808720896,33596639,4903909238,2020-03-24T02:05:26.000Z,retweet,False
1242271271347466245,33596639,1239994316233334793,2020-03-24T02:05:26.000Z,retweet,False
1242271263403511809,33596639,1220348985636020225,2020-03-24T02:05:24.000Z,retweet,False
1242271140061552641,33596639,924366209390391297,2020-03-24T02:04:54.000Z,retweet,False
1242271249813737474,None,None,2020-03-24T02:05:20.000Z,None,None
1242271201713688578,33596639,88245184,2020-03-24T02:05:09.000Z,retweet,False
1242271192934952966,33596639,986049699437301760,2020-03-24T02:05:07.000Z,retweet,False
1242271192716726272,33596639,1247820060,2020-03-24T02:05:07.000Z,retweet,False
1242271189453737985,33596639,849858403786792961,2020-03-24T02:05:06.000Z,retweet,False
1242271185003479040,33596639,976254220935495680,2020-03-24T02:05:05.000Z,retweet,False
1242271167014146048,33596639,161303812,2020-03-24T02:05:01.000Z,retweet,False
1242271162111086592,33596639,476957058,2020-03-24T02:04:59.000Z,retweet,False
1242271217748447234,33596639,2878397393,2020-03-24T02:05:13.000Z,retweet,False
1242271299893854208,33596639,822807919175630851,2020-03-24T02:05:32.000Z,retweet,False
1242270760540024840,33596639,6996062,2020-03-24T02:03:24.000Z,retweet,False
1242270737794285569,33596639,973919314037428225,2020-03-24T02:03:18.000Z,retweet,False
1242270119717416961,33596639,916069940075094017,2020-03-24T02:00:51.000Z,retweet,False
1242270119222366208,None,None,2020-03-24T02:00:51.000Z,None,None
1242270116793823232,None,None,2020-03-24T02:00:50.000Z,None,None
1242270103632334854,33596639,916069940075094017,2020-03-24T02:00:47.000Z,retweet,False
1242270066416078851,33596639,1220385735926091782,2020-03-24T02:00:38.000Z,retweet,False
1242270065036230656,33596639,1415550662,2020-03-24T02:00:38.000Z,retweet,False
1242270001559670784,33596639,2604459826,2020-03-24T02:00:23.000Z,retweet,False
1242270126948352000,33596639,17767046,2020-03-24T02:00:53.000Z,retweet,False
1242269998271401984,None,None,2020-03-24T02:00:22.000Z,None,None
1242269955581775873,None,None,2020-03-24T02:00:12.000Z,None,None
1242269950284304384,None,None,2020-03-24T02:00:11.000Z,None,None
1242269948426072065,33596639,482430035,2020-03-24T02:00:10.000Z,retweet,False
1242269927702052864,33596639,482430035,2020-03-24T02:00:05.000Z,quote,False
1242269910451003394,33596639,518641297,2020-03-24T02:00:01.000Z,retweet,False
1242269893606678528,33596639,238304539,2020-03-24T01:59:57.000Z,retweet,False
1242269891752837120,None,None,2020-03-24T01:59:57.000Z,None,None
1242269960354791429,33596639,836639756775731200,2020-03-24T02:00:13.000Z,retweet,False
1242270748325994498,None,None,2020-03-24T02:03:21.000Z,None,None
1242270169923072001,33596639,17686264,2020-03-24T02:01:03.000Z,retweet,False
1242270209790148609,33596639,321035269,2020-03-24T02:01:12.000Z,retweet,False
1242270605552091136,33596639,18638287,2020-03-24T02:02:47.000Z,retweet,False
1242270602523824130,None,None,2020-03-24T02:02:46.000Z,None,None
