,id,title,date_published,which_half,url,domain,num_tweets,score,site_type,num_peaks,active_days,lifespan,active_ratio
2518,1982016,‘He is lying’: Colorado election chief tears into Trump — and debunks his lies about mail-in ballots,2020-08-14 00:50:55+00:00,2,https://www.rawstory.com/2020/08/he-is-lying-colorado-election-chief-tears-into-trump-and-debunks-his-lies-about-mail-in-ballots/,rawstory.com,543,21.0655670166,claim,1,3,100,0.03
2519,1980968,‘Silence is complicity’: GOP condemned for doing nothing as Trump openly touts sabotage of postal service,2020-08-13 17:51:31+00:00,2,https://www.rawstory.com/2020/08/silence-is-complicity-gop-condemned-for-doing-nothing-as-trump-openly-touts-sabotage-of-postal-service/,rawstory.com,534,20.1128540039,claim,1,3,5,0.6
2520,1986577,Imagine 'Antifa Ballot-Harvesters.' It Isn't Hard To Do.,2020-08-16 04:00:00+00:00,2,https://pjmedia.com/columns/victoria-taft/2020/08/16/imagine-antifa-ballot-harvesters-it-isnt-hard-to-do-n776914,pjmedia.com,446,107.49681091309999,claim,1,14,66,0.21212121212121213
2521,1980938,'Silence Is Complicity': GOP Condemned for Doing Nothing as Trump Openly Touts Sabotage of Postal Service,2020-08-13 04:00:00+00:00,2,https://www.commondreams.org/news/2020/08/13/silence-complicity-gop-condemned-doing-nothing-trump-openly-touts-sabotage-postal,commondreams.org,372,19.57862854,claim,1,9,49,0.1836734693877551
2523,1984260,Trump Campaign Exaggerates Potential for Mail-In Voting Fraud After Election,2020-08-14 04:00:00+00:00,2,https://www.factcheck.org/2020/08/trump-campaign-exaggerates-potential-for-mail-in-voting-fraud-after-election/,factcheck.org,226,21.716720581100002,fact_checking,1,28,90,0.3111111111111111
2613,2002631,Detroit Absentee Ballot Chaos as Numbers Don't Match,2020-08-23 18:23:38+00:00,2,https://www.breitbart.com/politics/2020/08/23/detroit-absentee-ballot-chaos-inaccurate-cant-even-attempt-make-right/,breitbart.com,2911,94.12093353270001,claim,1,20,50,0.4
2614,2002967,Officials Say 72 Percent of Detroit's Absentee Voting Precincts Don't Match Official Count,2020-08-23 04:00:00+00:00,2,https://pjmedia.com/news-and-politics/rick-moran/2020/08/23/officials-say-72-percent-of-detroits-absentee-voting-precincts-dont-match-official-count-n829887?fbclid=IwAR1KZNfkKzLajUwEGoIzaZfHctWvSZjVhJJ4B96rElVQNPzvLhf0ImhejCU,pjmedia.com,699,20.504327774,claim,2,25,92,0.2717391304347826
2615,2002136,Trump Falsely Suggests That Mail-In Voting Will Give You COVID,2020-08-23 04:00:00+00:00,2,https://www.politicususa.com/2020/08/23/trump-covid-mail-in-voting.html,politicususa.com,319,24.0827255249,claim,1,3,3,1.0
2713,2022368,Democrat Operative Blows the Whistle on Massive Mail-In Voting Fraud Operation,2020-09-01 12:30:40+00:00,2,https://www.thegatewaypundit.com/2020/09/democrat-operative-blows-whistle-reveals-massive-mail-voting-fraud-operation/,thegatewaypundit.com,6280,9.7542409897,claim,3,56,85,0.6588235294117647
2714,2014871,Iowa Judge Voids 50000 Absentee Ballot Requests,2020-08-28 16:12:41+00:00,2,https://www.breitbart.com/politics/2020/08/28/iowa-judge-voids-50000-absentee-ballot-requests/amp/?__twitter_impression=true,breitbart.com,5403,94.8883285522,claim,1,14,55,0.2545454545454545
2715,2017092,Judge Tosses 50000 Absentee Ballot Requests After Commissioner Fills Out Voter Information,2020-08-29 18:00:26+00:00,2,https://www.dailywire.com/news/judge-tosses-50000-absentee-ballot-requests-after-commissioner-fills-out-voter-information,dailywire.com,2431,96.7557220459,claim,1,23,73,0.3150684931506849
2717,2020148,Hollywood Celebrities Team Up with Anti-Trump Republicans to Push Vote By Mail,2020-08-31 13:52:33+00:00,2,https://www.breitbart.com/entertainment/2020/08/31/hollywood-celebrities-team-up-with-anti-trump-republicans-to-push-vote-by-mail/,breitbart.com,857,18.9387550354,claim,1,6,12,0.5
2718,2021180,Vote by Mail Proponents Challenge Signature Matching Practices,2020-08-31 20:43:36+00:00,2,https://www.breitbart.com/politics/2020/08/31/vote-by-mail-proponents-challenge-signature-matching-practices/,breitbart.com,514,9.4799232483,claim,1,7,9,0.7777777777777778
2719,2018760,Incredible: Dem Operative Reveals How He Fixed Mail-In Ballots Over Decades,2020-08-30 04:00:00+00:00,2,https://pjmedia.com/news-and-politics/rick-moran/2020/08/30/incredible-dem-operative-reveals-how-he-fixed-mail-in-ballots-over-decades-n865350?bcid=da2d92f657a51bce41545452f899deb0&recip=28418732,pjmedia.com,491,10.1715517044,claim,1,18,68,0.2647058823529412
2720,2024420,New York Launches Unsecured Online 'Portal' For Requesting Absentee Ballots,2020-09-02 03:51:15+00:00,2,https://www.zerohedge.com/political/new-york-launches-unsecured-online-portal-requesting-absentee-ballots,zerohedge.com,312,10.2707452774,claim,1,2,2,1.0
